,order_id,date,customer_id,customer_name,age,gender,region,category,product,quantity,unit_price,discount_pct,payment_method,order_status,rating,year,month,day
175,ORD00176,2022-08-05,CUST2322,Nisha,48,F,East,Sports,Cricket Bat,9,4599.8,5,Credit Card,Delivered,3.8,2022,8,5
176,ORD00177,2022-01-17,CUST2920,Asha,43,F,North,Sports,Cricket Bat,3,4647.39,10,UPI,Returned,3.3,2022,1,17
178,ORD00179,2022-01-31,CUST1846,Karan,49,M,South,Sports,Dumbbells,10,2013.68,10,UPI,Cancelled,4.1,2022,1,31
179,ORD00180,2022-10-30,CUST0337,Sneha,35,F,South,Books,Cookbook,7,474.19,20,Net Banking,Returned,3.9,2022,10,30
182,ORD00183,2022-11-05,CUST0685,Rohan,45,M,East,Sports,Football,7,889.03,10,Net Banking,Pending,1.6,2022,11,5
184,ORD00185,2022-05-20,CUST2848,Nisha,30,F,West,Furniture,Sofa,7,4086.6,20,UPI,Returned,3.4,2022,5,20
189,ORD00190,2022-08-15,CUST2784,Ravi,55,M,Central,Clothing,Kurta,9,2812.07,20,Cash,Pending,2.6,2022,8,15
190,ORD00191,2022-04-29,CUST1427,Arjun,37,M,East,Electronics,Tablet,7,4606.71,0,Net Banking,Returned,3.9,2022,4,29
191,ORD00192,2022-11-23,CUST0184,Nisha,63,F,North,Furniture,Chair,8,3623.87,15,Credit Card,Pending,,2022,11,23
192,ORD00193,2022-12-05,CUST0950,Vijay,43,M,South,Books,Textbook,9,913.54,5,Cash,Cancelled,4.8,2022,12,5
196,ORD00197,2022-05-22,CUST1994,Karan,58,M,Central,Books,Textbook,9,1972.89,20,Cash,Returned,2.7,2022,5,22
197,ORD00198,2022-02-24,CUST1985,Meera,26,F,South,Clothing,Jeans,6,4217.83,20,Net Banking,Cancelled,4.8,2022,2,24
198,ORD00199,2022-02-01,CUST0134,Pooja,35,F,South,Furniture,Bookshelf,8,877.9,20,Debit Card,Pending,1.9,2022,2,1
199,ORD00200,2022-04-27,CUST1503,Arjun,52,M,North,Sports,Yoga Mat,9,2578.49,20,Net Banking,Returned,3.2,2022,4,27
201,ORD00202,2022-07-31,CUST2181,Ritu,35,F,Central,Books,Self-Help,3,3099.95,5,Debit Card,Returned,3.3,2022,7,31
204,ORD00205,2022-12-02,CUST0382,Nikhil,64,M,West,Sports,Badminton Set,6,2300.74,15,UPI,Delivered,4.5,2022,12,2
205,ORD00206,2022-12-12,CUST1988,Kavya,39,F,North,Furniture,Table,8,1379.26,10,Credit Card,Delivered,1.5,2022,12,12
206,ORD00207,2022-07-27,CUST2663,Priya,37,F,South,Electronics,Phone,8,2309.76,15,UPI,Delivered,4.6,2022,7,27
208,ORD00209,2022-01-10,CUST1408,Anita,25,F,West,Clothing,Kurta,4,2621.25,15,Cash,Cancelled,,2022,1,10
209,ORD00210,2022-11-03,CUST0546,Suresh,59,M,South,Furniture,Chair,2,560.85,10,Credit Card,Delivered,4.1,2022,11,3
211,ORD00212,2022-09-12,CUST2489,Divya,36,F,North,Food,Cooking Oil,4,1420.99,0,UPI,Returned,3.4,2022,9,12
212,ORD00213,2022-09-04,CUST2164,Nikhil,18,M,East,Food,Rice 5kg,4,2499.69,0,UPI,Returned,3.4,2022,9,4
213,ORD00214,2022-03-16,CUST0277,Ritu,18,F,East,Furniture,Sofa,9,3430.56,15,Cash,Delivered,,2022,3,16
217,ORD00218,2022-06-20,CUST1101,Rahul,64,M,North,Clothing,Saree,6,2638.88,10,Credit Card,Pending,4.0,2022,6,20
219,ORD00220,2022-08-22,CUST0051,Karan,33,M,North,Clothing,Jacket,2,4476.63,0,Net Banking,Pending,1.0,2022,8,22
220,ORD00221,2022-08-18,CUST2951,Sneha,38,F,East,Clothing,T-Shirt,9,4025.42,15,Credit Card,Pending,2.7,2022,8,18
221,ORD00222,2022-02-17,CUST1906,Dev,36,M,East,Books,Novel,3,1154.77,20,UPI,Delivered,1.3,2022,2,17
223,ORD00224,2022-12-10,CUST2693,Nikhil,42,M,East,Electronics,Phone,9,1764.8,0,Credit Card,Returned,,2022,12,10
224,ORD00225,2022-02-14,CUST2129,Nikhil,44,M,East,Furniture,Chair,3,3572.68,0,Net Banking,Delivered,4.6,2022,2,14
227,ORD00228,2022-04-03,CUST2887,Kavya,62,F,Central,Furniture,Sofa,8,1361.79,0,Credit Card,Returned,3.7,2022,4,3
229,ORD00230,2022-05-14,CUST2812,Arjun,58,M,North,Electronics,Phone,2,109.19,5,Debit Card,Pending,2.6,2022,5,14
230,ORD00231,2022-12-06,CUST0208,Rahul,28,M,Central,Electronics,Phone,8,4056.03,0,Net Banking,Cancelled,4.8,2022,12,6
231,ORD00232,2022-10-09,CUST0142,Priya,57,F,Central,Furniture,Bookshelf,3,1802.02,5,Debit Card,Returned,4.5,2022,10,9
233,ORD00234,2022-11-26,CUST1307,Pooja,56,F,South,Sports,Yoga Mat,6,4567.75,20,Credit Card,Pending,1.7,2022,11,26
234,ORD00235,2022-04-13,CUST2186,Arjun,65,M,North,Sports,Badminton Set,10,4998.05,5,Cash,Cancelled,2.0,2022,4,13
236,ORD00237,2022-02-27,CUST2157,Arjun,48,M,North,Sports,Badminton Set,3,2477.66,0,UPI,Returned,1.9,2022,2,27
239,ORD00240,2022-05-11,CUST2876,Rohan,54,M,West,Toys,Doll,7,1568.77,10,Debit Card,Delivered,1.0,2022,5,11
241,ORD00242,2022-12-25,CUST0006,Pooja,21,F,West,Electronics,Tablet,4,1285.23,0,Net Banking,Cancelled,1.4,2022,12,25
243,ORD00244,2022-12-17,CUST2999,Ravi,22,M,Central,Electronics,Tablet,5,4760.73,0,Credit Card,Pending,2.5,2022,12,17
244,ORD00245,2022-02-24,CUST0779,Priya,44,F,Central,Furniture,Table,10,4454.28,5,Debit Card,Pending,1.8,2022,2,24
247,ORD00248,2022-09-27,CUST1101,Sneha,54,F,North,Food,Dal 2kg,6,973.59,0,Cash,Delivered,2.1,2022,9,27
248,ORD00249,2022-08-21,CUST2141,Karan,44,M,Central,Toys,Board Game,7,4854.99,20,Net Banking,Returned,4.4,2022,8,21
250,ORD00251,2022-07-26,CUST2438,Vijay,34,M,East,Electronics,Headphones,2,4941.99,15,Credit Card,Delivered,3.5,2022,7,26
252,ORD00253,2022-04-19,CUST1172,Nikhil,52,M,East,Clothing,Jeans,10,2960.27,0,Net Banking,Pending,1.4,2022,4,19
254,ORD00255,2022-12-12,CUST1149,Rahul,49,M,North,Books,Self-Help,5,4490.31,0,Cash,Returned,2.2,2022,12,12
257,ORD00258,2022-10-08,CUST1626,Suresh,58,M,North,Electronics,Headphones,1,4594.25,5,Credit Card,Returned,2.9,2022,10,8
261,ORD00262,2022-01-08,CUST1533,Arjun,53,M,Central,Food,Biscuits,10,2015.91,0,Debit Card,Pending,3.6,2022,1,8
262,ORD00263,2022-10-11,CUST2669,Anita,37,F,South,Furniture,Chair,6,4942.39,10,Cash,Returned,3.8,2022,10,11
263,ORD00264,2022-10-30,CUST1591,Rohan,65,M,North,Furniture,Sofa,3,3620.35,15,Debit Card,Returned,2.7,2022,10,30
267,ORD00268,2022-02-25,CUST0821,Kavya,39,F,West,Sports,Cricket Bat,7,2672.7,15,Debit Card,Cancelled,1.6,2022,2,25
268,ORD00269,2022-11-17,CUST1121,Karan,31,M,South,Toys,Doll,2,2463.53,5,Debit Card,Returned,1.0,2022,11,17
270,ORD00271,2022-08-20,CUST0529,Asha,24,F,West,Clothing,T-Shirt,1,3152.1,5,Debit Card,Pending,2.4,2022,8,20
272,ORD00273,2022-08-05,CUST0693,Vijay,25,M,East,Toys,Puzzle,1,1180.67,5,Credit Card,Cancelled,3.4,2022,8,5
274,ORD00275,2022-11-05,CUST2132,Pooja,35,F,Central,Books,Textbook,4,3491.2,0,Debit Card,Returned,1.4,2022,11,5
276,ORD00277,2022-12-05,CUST0365,Sneha,25,F,Central,Electronics,Smartwatch,8,4556.27,15,Net Banking,Returned,1.1,2022,12,5
277,ORD00278,2022-10-31,CUST0716,Dev,20,M,East,Electronics,Laptop,5,3239.47,15,UPI,Pending,1.2,2022,10,31
278,ORD00279,2022-12-03,CUST2547,Anita,35,F,North,Electronics,Laptop,1,4267.39,5,UPI,Pending,2.8,2022,12,3
280,ORD00281,2022-07-05,CUST2505,Amit,19,M,South,Furniture,Bed Frame,8,4021.21,15,Net Banking,Cancelled,4.1,2022,7,5
281,ORD00282,2022-01-13,CUST2362,Nikhil,64,M,Central,Furniture,Chair,2,1344.98,10,Cash,Pending,3.7,2022,1,13
282,ORD00283,2022-06-02,CUST2511,Nikhil,21,M,North,Books,Textbook,8,1761.46,15,Cash,Cancelled,3.2,2022,6,2
283,ORD00284,2022-02-21,CUST1551,Sneha,43,F,South,Electronics,Headphones,6,1242.41,10,Credit Card,Cancelled,3.2,2022,2,21
285,ORD00286,2022-12-16,CUST0914,Rohan,47,M,East,Sports,Badminton Set,9,2833.55,15,Debit Card,Cancelled,1.2,2022,12,16
287,ORD00288,2022-07-12,CUST0884,Sneha,47,F,South,Toys,Puzzle,2,1308.73,5,UPI,Delivered,4.4,2022,7,12
289,ORD00290,2022-05-12,CUST2483,Ritu,38,F,Central,Furniture,Bed Frame,3,3474.5,5,Net Banking,Cancelled,3.6,2022,5,12
290,ORD00291,2022-05-22,CUST2099,Ravi,37,M,Central,Furniture,Sofa,5,2291.59,5,UPI,Returned,3.8,2022,5,22
292,ORD00293,2022-01-14,CUST0596,Ritu,21,F,North,Sports,Yoga Mat,9,1465.34,15,Cash,Pending,1.1,2022,1,14
293,ORD00294,2022-07-28,CUST1854,Ravi,24,M,Central,Books,Comics,3,4204.94,10,Debit Card,Returned,1.1,2022,7,28
296,ORD00297,2022-10-13,CUST2393,Vijay,34,M,North,Clothing,Kurta,2,1917.13,15,UPI,Cancelled,1.5,2022,10,13
300,ORD00301,2022-01-26,CUST1536,Karan,50,M,Central,Furniture,Chair,7,1320.12,10,Net Banking,Cancelled,4.3,2022,1,26
301,ORD00302,2022-06-21,CUST2185,Ravi,18,M,North,Books,Textbook,6,2593.78,0,Cash,Returned,4.1,2022,6,21
305,ORD00306,2022-05-20,CUST2236,Divya,36,F,South,Furniture,Chair,8,823.8,5,UPI,Pending,4.2,2022,5,20
307,ORD00308,2022-07-18,CUST2324,Asha,21,F,Central,Clothing,Jeans,3,1142.9,10,Net Banking,Delivered,3.7,2022,7,18
308,ORD00309,2022-12-05,CUST0961,Anita,24,F,East,Food,Rice 5kg,4,3641.67,15,Debit Card,Delivered,3.7,2022,12,5
310,ORD00311,2022-05-18,CUST1966,Kavya,47,F,West,Toys,Doll,7,1419.57,10,UPI,Pending,2.3,2022,5,18
311,ORD00312,2022-05-24,CUST2567,Asha,22,F,North,Electronics,Phone,10,455.77,10,Credit Card,Delivered,1.8,2022,5,24
317,ORD00318,2022-01-07,CUST0679,Nisha,32,F,North,Toys,RC Car,8,3973.65,20,Debit Card,Pending,1.6,2022,1,7
322,ORD00323,2022-05-16,CUST2066,Pooja,61,F,West,Sports,Dumbbells,2,1187.58,15,Cash,Delivered,1.8,2022,5,16
324,ORD00325,2022-08-23,CUST1562,Asha,40,F,Central,Furniture,Sofa,1,3503.33,15,Debit Card,Delivered,2.9,2022,8,23
325,ORD00326,2022-10-18,CUST1056,Sneha,30,F,North,Food,Dal 2kg,4,4554.92,0,Credit Card,Delivered,3.2,2022,10,18
326,ORD00327,2022-06-08,CUST1071,Nikhil,52,M,West,Books,Textbook,6,2073.78,0,Debit Card,Pending,3.3,2022,6,8
328,ORD00329,2022-04-13,CUST1387,Sneha,53,F,Central,Toys,LEGO Set,4,2260.64,5,Credit Card,Returned,2.6,2022,4,13
330,ORD00331,2022-02-28,CUST2623,Divya,49,F,West,Sports,Dumbbells,5,3572.45,20,Credit Card,Returned,4.3,2022,2,28
332,ORD00333,2022-01-16,CUST0370,Divya,53,F,East,Food,Dal 2kg,7,2951.1,20,Debit Card,Pending,1.3,2022,1,16
334,ORD00335,2022-09-14,CUST2307,Nisha,48,F,South,Electronics,Smartwatch,5,4386.76,20,UPI,Cancelled,4.9,2022,9,14
339,ORD00340,2022-10-14,CUST0526,Pooja,21,F,Central,Sports,Badminton Set,8,955.22,20,Net Banking,Cancelled,4.0,2022,10,14
341,ORD00342,2022-10-03,CUST1499,Nisha,29,F,West,Sports,Badminton Set,3,2765.39,5,Net Banking,Returned,3.5,2022,10,3
342,ORD00343,2022-05-15,CUST0410,Nisha,64,F,East,Food,Dal 2kg,5,2281.11,20,Cash,Cancelled,3.7,2022,5,15
344,ORD00345,2022-03-03,CUST2580,Meera,24,F,West,Sports,Dumbbells,1,2022.09,5,UPI,Pending,2.0,2022,3,3
345,ORD00346,2022-05-05,CUST2481,Nisha,30,F,Central,Sports,Dumbbells,5,1753.49,15,Debit Card,Returned,3.7,2022,5,5
346,ORD00347,2022-03-22,CUST2588,Nisha,27,F,South,Food,Biscuits,8,3884.98,15,UPI,Cancelled,2.1,2022,3,22
353,ORD00354,2022-10-27,CUST2246,Asha,41,F,South,Electronics,Headphones,8,1533.07,15,Net Banking,Cancelled,4.2,2022,10,27
356,ORD00357,2022-10-16,CUST2979,Vijay,18,M,South,Electronics,Smartwatch,1,970.39,0,Credit Card,Returned,3.9,2022,10,16
362,ORD00363,2022-03-03,CUST2197,Arjun,24,M,South,Electronics,Smartwatch,6,4657.7,0,Net Banking,Returned,1.6,2022,3,3
364,ORD00365,2022-10-09,CUST2272,Kavya,28,F,North,Sports,Football,9,1770.94,15,Debit Card,Returned,3.4,2022,10,9
367,ORD00368,2022-04-20,CUST2339,Rahul,59,M,West,Toys,Doll,3,4373.79,5,Net Banking,Pending,1.4,2022,4,20
369,ORD00370,2022-11-08,CUST0885,Priya,51,F,North,Toys,Board Game,5,2668.65,0,Credit Card,Returned,,2022,11,8
373,ORD00374,2022-01-07,CUST1290,Rahul,19,M,East,Food,Biscuits,1,2612.17,10,Debit Card,Returned,1.9,2022,1,7
375,ORD00376,2022-04-08,CUST2994,Karan,54,M,West,Toys,Puzzle,3,2466.97,20,Credit Card,Delivered,2.2,2022,4,8
376,ORD00377,2022-08-21,CUST0047,Nisha,58,F,West,Toys,Puzzle,7,4654.72,0,Credit Card,Pending,4.4,2022,8,21
377,ORD00378,2022-06-06,CUST2997,Karan,43,M,West,Sports,Dumbbells,3,1667.82,5,Debit Card,Delivered,,2022,6,6
379,ORD00380,2022-07-20,CUST2148,Vijay,33,M,South,Furniture,Bed Frame,4,2464.91,20,Credit Card,Pending,5.0,2022,7,20
381,ORD00382,2022-08-28,CUST2984,Ritu,23,F,North,Toys,Puzzle,10,771.8,0,Credit Card,Returned,2.5,2022,8,28
382,ORD00383,2022-01-24,CUST0868,Ravi,31,M,Central,Electronics,Tablet,2,1560.33,15,Debit Card,Pending,4.0,2022,1,24
383,ORD00384,2022-02-14,CUST0823,Ritu,62,F,Central,Books,Textbook,1,1914.2,20,UPI,Delivered,1.2,2022,2,14
384,ORD00385,2022-04-21,CUST2660,Priya,42,F,South,Electronics,Headphones,5,3331.76,10,Net Banking,Delivered,,2022,4,21
386,ORD00387,2022-12-30,CUST2054,Pooja,35,F,North,Furniture,Table,1,1766.56,10,UPI,Cancelled,1.9,2022,12,30
